KAMStructure,RH_NVH,BH_KAM_Group,BH_KAM_L1,Region,Final Branch,Branch,Role,Vertical,Vertical_New,BVH
Development Accounts,RH NORTH,DA,DA DEL,NORTH,DEL,DELHI,BVH,EDUCATION,EDUCATION,BVH - EDUCATION - DELHI
Development Accounts,RH NORTH,DA,DA DEL,NORTH,DEL,DELHI1,BVH,REAL ESTATE,REAL ESTATE,BVH - REAL ESTATE - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,AUTOMOBILES,AUTOMOBILES,BVH - AUTOMOBILES - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,B3+PSU,B3+PSU,BVH - B3+PSU - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,BFSI,BFSI,BVH - BFSI - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,BUSINESS SOLUTIONS,B2B,BVH - B2B - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,CONS.DURABLES,CONS.DURABLES,BVH - CONS.DURABLES - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,GOVERNMENT,GOVERNMENT,BVH - GOVERNMENT - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,TECHNOLOGY,TECHNOLOGY,BVH - TECHNOLOGY - DELHI1
Development Accounts,RH NORTH 1,DA,DA DEL 1,NORTH1,DEL,DELHI1,BVH,TELECOM,TELECOM,BVH - TELECOM - DELHI1
Development Accounts,RH NORTH 2,DA,DA DEL 2,NORTH2,DEL,DELHI2,BVH,AIRLINES,AIRLINES,BVH - AIRLINES - DELHI2
Development Accounts,RH NORTH 2,DA,DA DEL 2,NORTH2,DEL,DELHI2,BVH,CLOTHING / TEXTILES,CLOTHING / TEXTILES,BVH - CLOTHING / TEXTILES - DELHI2
