Horizontals,Horizontals2,Branch2,Branch,BHH Role,RHH Role
ET GREY CELL,ET AFP,AHM,AHMEDABAD,BHH - ET AFP - AHMEDABAD,RHH - ET AFP - REGION (WEST)
ET GREY CELL,ET AFP,BAN,BANGALORE,BHH - ET AFP - BANGALORE,RHH - ET AFP - REGION (SOUTH)
ET GREY CELL,ET AFP,BHO,BHOPAL,BHH - ET AFP - BHOPAL,RHH - ET AFP - REGION (WEST)
ET GREY CELL,ET AFP,BHU,BHUBANESHWAR,BHH - ET AFP - BHUBANESHWAR,
ET GREY CELL,ET AFP,CHA,CHANDIGARH,BHH - ET AFP - CHANDIGARH,RHH  - ET AFP - REGION (NORTH)
ET GREY CELL,ET AFP,CHE,CHENNAI,BHH - ET AFP - CHENNAI,RHH - ET AFP - REGION (SOUTH)
ET GREY CELL,ET AFP,COC,COCHIN,BHH - ET AFP - COCHIN,RHH - ET AFP - REGION (SOUTH)
ET GREY CELL,ET AFP,DEL,DELHI,BHH 1 - ET AFP - DELHI,RHH  - ET AFP - REGION (NORTH)
ET GREY CELL,ET AFP,HYD,HYDERABAD,BHH - ET AFP - HYDERABAD,RHH - ET AFP - REGION (SOUTH)
ET GREY CELL,ET AFP,JAI,JAIPUR,BHH - ET AFP - JAIPUR,RHH  - ET AFP - REGION (NORTH)
ET GREY CELL,ET AFP,KOL,KOLKATTA,BHH - ET AFP - KOLKATTA,RHH - ET AFP - REGION (SOUTH)
ET GREY CELL,ET AFP,LUC,LUCKNOW,BHH 1 - ET AFP - LUCKNOW,RHH  - ET AFP - REGION (NORTH)
ET GREY CELL,ET AFP,MUM,MUMBAI,BHH - ET AFP - MUMBAI,RHH - ET AFP - REGION (WEST)
ET GREY CELL,ET AFP,NAG,NAGPUR,BHH - ET AFP - NAGPUR,RHH - ET AFP - REGION (WEST)
ET GREY CELL,ET AFP,PAT,PATNA,BHH - ET AFP - PATNA,RHH  - ET AFP - REGION (NORTH)
ET GREY CELL,ET AFP,PUN,PUNE,BHH - ET AFP - PUNE,RHH - ET AFP - REGION (WEST)
GREEN CELL,CSR,AHM,AHMEDABAD,BHH - CSR - AHMEDABAD,RHH - CSR - REGION (WEST)
GREEN CELL,CSR,BAN,BANGALORE,BHH - CSR - BANGALORE,RHH - CSR - REGION (SOUTH)
GREEN CELL,CSR,BHO,BHOPAL,BHH - CSR - BHOPAL,RHH - CSR - REGION (WEST)
GREEN CELL,CSR,BHU,BHUBANESHWAR,BHH - CSR - BHUBANESHWAR,RHH - CSR - REGION (SOUTH)
GREEN CELL,CSR,CHA,CHANDIGARH,BHH  1 - CSR - CHANDIGARH,RHH  - CSR - REGION (NORTH)
GREEN CELL,CSR,CHE,CHENNAI,BHH - CSR - CHENNAI,RHH - CSR - REGION (SOUTH)
GREEN CELL,CSR,COC,COCHIN,,RHH - CSR - REGION (SOUTH)
GREEN CELL,CSR,DEL,DELHI,BHH 1  - CSR - DELHI,RHH  - CSR - REGION (NORTH)
