Verticals Cluster,KAMStructure,BH_KAM_Group,BH_KAM_L1,Final Branch,Branch,Vertical,New Vertical,BH,BVH,Role Name
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,AUTOMOBILES,AUTOMOBILES,BH - Branch Sales - AHMEDABAD,BVH,BVH - AUTOMOBILES - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,B3+PSU,B3+PSU,BH - Branch Sales - AHMEDABAD,BVH,BVH - B3+PSU - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,BFSI,BFSI,BH - Branch Sales - AHMEDABAD,BVH,BVH - BFSI - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,BUSINESS SOLUTIONS,B2B,BH - Branch Sales - AHMEDABAD,BVH,BVH - B2B - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,CLOTHING / TEXTILES,CLOTHING / TEXTILES,BH - Branch Sales - AHMEDABAD,BVH,BVH - CLOTHING / TEXTILES - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,CONS.DURABLES,CONS.DURABLES,BH - Branch Sales - AHMEDABAD,BVH,BVH - CONS.DURABLES - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,CONS.SOFT & OTC,CONS.SOFT & OTC,BH - Branch Sales - AHMEDABAD,BVH,BVH - CONS.SOFT & OTC - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,CONSUMER SERVICES,CONSUMER SERVICES,BH - Branch Sales - AHMEDABAD,BVH,BVH - CONSUMER SERVICES - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,E BUSINESS,E BUSINESS,BH - Branch Sales - AHMEDABAD,BVH,BVH - E BUSINESS - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,EDUCATION,EDUCATION,BH - Branch Sales - AHMEDABAD,BVH,BVH - EDUCATION - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,FOOD & BEVERAGES,FOOD & BEVERAGES,BH - Branch Sales - AHMEDABAD,BVH,BVH - FOOD & BEVERAGES - AHMEDABAD
Other Verticals,REST BRANCHES,BH,BH AHM,AHM,AHMEDABAD,GOVERNMENT,GOVERNMENT,BH - Branch Sales - AHMEDABAD,BVH,BVH - GOVERNMENT - AHMEDABAD
